Description,1-Dec-18,1-Jan-19,1-Feb-19,1-Mar-19,1-Apr-19,1-May-19,1-Jun-19,1-Jul-19,1-Aug-19,1-Sep-19,1-Oct-19,1-Nov-19,1-Dec-19,1-Jan-20,1-Feb-20,1-Mar-20,1-Apr-20,1-May-20,1-Jun-20,1-Jul-20,1-Aug-20,1-Sep-20,1-Oct-20,1-Nov-20,1-Dec-20,1-Jan-21,1-Feb-21,1-Mar-21,1-Apr-21,1-May-21,1-Jun-21,1-Jul-21,1-Aug-21,1-Sep-21,1-Oct-21,1-Nov-21,1-Dec-21,1-Jan-22,1-Feb-22,1-Mar-22,1-Apr-22,1-May-22,1-Jun-22,1-Jul-22,1-Aug-22,1-Sep-22,1-Oct-22,1-Nov-22,1-Dec-22,1-Jan-23,1-Feb-23,1-Mar-23,1-Apr-23,1-May-23,1-Jun-23,1-Jul-23,1-Aug-23,1-Sep-23,1-Oct-23
No. of Banks currently providing the Services,18,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
No. of agents,886473,898996,909022,919191,928563,931508,934195,942648,951115,951777,954290,965471,971620,981537,985914,992658,999481,996413,998504,1003005,1009430,1017055,1028677,1044521,1058897,1044879,1054952,1069257,1061128,1101002,1115101,1141743,1161839,1141693,1154539,1106509,1123113,1134868,1148361,1163379,1177148,1188184,1467738,1477434,1493398,1505321,1521803,1531405,1554637,1569111,1581284,1598000,1555791,1570340,1585722,1601445,1618988,1629716,1678207
No. of registered clients in Lac,675.19,672.88,673.66,675.4,682.82,704.56,725.03,730.91,735.85,759.78,773.95,785.94,795.08,809.16,818.57,825.76,849.77,879.39,887.97,925.73,929.37,947.87,964.16,978.37,993.36,1005.54,1023.69,1027.96,964.76,995.88,997.85,1027.15,1043.64,1064.54,1081.15,1096.27,1114.67,1140.18,1161.01,1090.87,1108.24,1126.15,1785.17,1809.98,1830.55,1850.6,1873.18,1885.74,1907.83,1941.25,1967.04,1980.93,2007.33,2040.14,2073.13,2096.14,2124.2,2150.44,2177.11
No. of active accounts in Lac*,373.23,334.94,334.3,323.58,290.81,321.29,324.58,335.68,330.98,343.89,290.11,350.92,346.46,332.94,270.87,268.45,280.91,354.61,385.71,426.78,405.73,410.35,332.93,316.74,323.27,324.13,342.27,346.37,367.49,396.5,409.24,411.58,407.01,406.46,393.29,400.64,410.96,437.84,425.23,448.34,455.71,457.62,642.97,679.88,671.27,575.27,554.7,565.59,573.74,573.54,634.95,675.2,671.63,665.81,714.2,712.42,819.63,738.43,803.93
No. of total transaction,210087150,214617334,194771027,209074061,211345500,231379578,199531493,227410021,204220475,212365165,227246774,230423120,227422938,230090192,226109405,235858514,217564950,281780662,256097772,310442380,269697875,273008126,290180413,281307626,299506884,299235299,279663286,307268419,304978609,346701611,319820772,326375159,328974694,324856111,334659939,323621856,340897398,345190941,317702787,360195455,379399820,348546984,461609837,431892765,408059051,408379707,444062360,415974768,428324791,462957809,450926709,482455915,531055608,501923307,572615005,483531787,512290724,497412883,573424783
Total transaction in taka(in crore BDT),32105.57,34626.24,31512.6,34678.37,34975.76,42236.23,31708.38,37477.58,35512.56,35433.16,37762.54,37918.86,40647.64,42103.22,41334.79,39785.23,29029.14,47601.28,44830.66,62999.42,41403.82,49121.25,53258.84,53598.31,56556.88,57256.7,55059.25,59642.41,63478.85,71246.88,62993.93,66387.45,62230.24,65135.06,67582.24,67958.96,71173.09,73367.52,68099.97,77212.64,92933.03,64946.67,94293.7,89169.26,87446.37,87635.17,93013.44,92125.75,96132.86,100593.42,97307.48,108467.23,124954,108355.19,132175.3,98306.75,109555.15,108378.23,120634.21
No. of daily average transaction,6777005,6923139.81,6956108.11,6744324.55,7044850,7463857,6651049.77,7335807,6587757.26,7078838.83,7330541,7680770.67,7336224,7422264.26,7796876.03,7608339.16,7252165,9089698.77,8536592.4,10014270,8699931.45,9100271,9360658,9376921,9661512,9652752,9987975,9911884,10165954,11183923,10660692,10528231,10612087,10828537,10795482,10787395,10996690,11135192,11346528,11619208,12646661,11243451,15386995,13932025,13163195,13612657,14324592,13865826,13816929,14934123,16104525,15563094,17701854,16191074,19087167,15597800,16525507,16580429,18497574
Average daily transaction (in crore BDT),1035.66,1116.98,1125.45,1118.66,1165.86,1362.46,1056.95,1208.95,1145.57,1181.11,1218.15,1263.96,1311.21,1358.17,1425.34,1283.39,967.64,1535.53,1494.36,2032.24,1335.61,1637.37,1718.03,1786.61,1824.42,1846.99,1966.4,1923.95,2115.96,2298.29,2099.8,2141.53,2007.43,2171.17,2180.07,2265.3,2295.91,2366.69,2432.14,2490.73,3097.77,2095.05,3143.12,2876.43,2820.85,2921.17,3000.43,3070.86,3101.06,3244.95,3475.27,3498.94,4165.13,3495.33,4405.84,3171.19,3534.04,3612.61,3891.43
Inward Remittance (crore BDT),63.51,42.03,19.88,14.41,15.27,26.71,27.33,28.77,34.37,24.18,24.99,26.3,30.95,29.68,29.99,31.63,112.38,177.97,125.23,169.53,104.75,110.1,115.16,116.81,134.78,188.74,179.29,184.73,212.03,249.8,176.98,282.68,333.29,201.88,201.93,196.21,214.24,215.55,215.91,260.08,384.29,277.24,306.97,380.97,330.7,330.11,354.45,358.34,387.96,412.51,379.6,512.74,645.1,467.97,635.14,482.03,515.4,520.4,564.61
Cash In transaction (crore BDT),12261.53,13587.33,12358.56,13838.95,13737.43,16291.65,11072.11,13460.25,12524.16,12869.94,13625.77,13407.88,14562.7,14947.64,14634.91,13769.44,8709.88,13079.87,12199.71,17058.8,11463.77,14723.34,15876.51,16352.98,17346.65,17212.22,16042.89,18337.03,19023.35,19428.77,18316.28,17935.45,18669.79,19777.05,21049.37,21207.66,22455.1,22408.94,20843.34,23707.21,27740.43,18755.52,27419.52,25780.4,26843.86,26687.22,27706.58,29634.69,31063.19,31260.61,29227.72,34308.08,37547.58,34462.04,39056.77,30664.73,35386.79,34954.59,38021.37
